subject_01, Epoch 1, Test Accuracy: 35.83%
subject_01, Epoch 2, Test Accuracy: 26.67%
subject_01, Epoch 3, Test Accuracy: 44.17%
subject_01, Epoch 4, Test Accuracy: 45.00%
subject_01, Epoch 5, Test Accuracy: 42.50%
subject_01, Epoch 6, Test Accuracy: 35.00%
subject_01, Epoch 7, Test Accuracy: 49.17%
subject_01, Epoch 8, Test Accuracy: 48.33%
subject_01, Epoch 9, Test Accuracy: 45.83%
subject_01, Epoch 10, Test Accuracy: 42.50%
subject_01, Epoch 1, Test Accuracy: 45.83%
subject_01, Epoch 2, Test Accuracy: 55.00%
subject_01, Epoch 3, Test Accuracy: 57.50%
subject_01, Epoch 4, Test Accuracy: 58.33%
subject_01, Epoch 5, Test Accuracy: 57.50%
subject_01, Epoch 6, Test Accuracy: 59.17%
subject_01, Epoch 7, Test Accuracy: 58.33%
subject_01, Epoch 8, Test Accuracy: 58.33%
subject_01, Epoch 9, Test Accuracy: 57.50%
subject_01, Epoch 10, Test Accuracy: 59.17%
subject_01, Epoch 11, Test Accuracy: 57.50%
subject_01, Epoch 12, Test Accuracy: 57.50%
subject_01, Epoch 13, Test Accuracy: 60.00%
subject_01, Epoch 14, Test Accuracy: 57.50%
subject_01, Epoch 15, Test Accuracy: 58.33%
subject_02, Epoch 1, Test Accuracy: 30.83%
subject_02, Epoch 2, Test Accuracy: 45.00%
subject_02, Epoch 3, Test Accuracy: 55.83%
subject_02, Epoch 4, Test Accuracy: 52.50%
subject_02, Epoch 5, Test Accuracy: 59.17%
subject_02, Epoch 6, Test Accuracy: 59.17%
subject_02, Epoch 7, Test Accuracy: 54.17%
subject_02, Epoch 8, Test Accuracy: 54.17%
subject_02, Epoch 9, Test Accuracy: 61.67%
subject_02, Epoch 10, Test Accuracy: 64.17%
subject_02, Epoch 1, Test Accuracy: 62.50%
subject_02, Epoch 2, Test Accuracy: 65.00%
subject_02, Epoch 3, Test Accuracy: 69.17%
subject_02, Epoch 4, Test Accuracy: 74.17%
subject_02, Epoch 5, Test Accuracy: 75.00%
subject_02, Epoch 6, Test Accuracy: 74.17%
subject_02, Epoch 7, Test Accuracy: 74.17%
subject_02, Epoch 8, Test Accuracy: 73.33%
subject_02, Epoch 9, Test Accuracy: 75.83%
subject_02, Epoch 10, Test Accuracy: 75.00%
subject_02, Epoch 11, Test Accuracy: 75.83%
subject_02, Epoch 12, Test Accuracy: 75.83%
subject_02, Epoch 13, Test Accuracy: 75.83%
subject_02, Epoch 14, Test Accuracy: 75.83%
subject_02, Epoch 15, Test Accuracy: 75.00%
subject_03, Epoch 1, Test Accuracy: 26.67%
subject_03, Epoch 2, Test Accuracy: 39.17%
subject_03, Epoch 3, Test Accuracy: 39.17%
subject_03, Epoch 4, Test Accuracy: 45.00%
subject_03, Epoch 5, Test Accuracy: 42.50%
subject_03, Epoch 6, Test Accuracy: 45.83%
subject_03, Epoch 7, Test Accuracy: 45.00%
subject_03, Epoch 8, Test Accuracy: 49.17%
subject_03, Epoch 9, Test Accuracy: 47.50%
subject_03, Epoch 10, Test Accuracy: 46.67%
subject_03, Epoch 1, Test Accuracy: 53.33%
subject_03, Epoch 2, Test Accuracy: 48.33%
subject_03, Epoch 3, Test Accuracy: 56.67%
subject_03, Epoch 4, Test Accuracy: 55.83%
subject_03, Epoch 5, Test Accuracy: 60.00%
subject_03, Epoch 6, Test Accuracy: 57.50%
subject_03, Epoch 7, Test Accuracy: 57.50%
