subject_23, Fold 0, Epoch 1, Train ACC: 0.2098, Val ACC: 0.2321
subject_23, Fold 0, Epoch 2, Train ACC: 0.3036, Val ACC: 0.3036
subject_23, Fold 0, Epoch 3, Train ACC: 0.4107, Val ACC: 0.2857
subject_23, Fold 0, Epoch 4, Train ACC: 0.4241, Val ACC: 0.3036
subject_23, Fold 0, Epoch 5, Train ACC: 0.5402, Val ACC: 0.4464
subject_23, Fold 0, Epoch 6, Train ACC: 0.5223, Val ACC: 0.3750
subject_23, Fold 0, Epoch 7, Train ACC: 0.5268, Val ACC: 0.3929
subject_23, Fold 0, Epoch 8, Train ACC: 0.5893, Val ACC: 0.3929
subject_23, Fold 0, Epoch 9, Train ACC: 0.6205, Val ACC: 0.3750
subject_23, Fold 0, Epoch 10, Train ACC: 0.6250, Val ACC: 0.4107
subject_23, Fold 0, Epoch 11, Train ACC: 0.6607, Val ACC: 0.4464
subject_23, Fold 0, Epoch 12, Train ACC: 0.6518, Val ACC: 0.4464
subject_23, Fold 0, Epoch 13, Train ACC: 0.6786, Val ACC: 0.4464
subject_23, Fold 0, Epoch 14, Train ACC: 0.6830, Val ACC: 0.4821
subject_23, Fold 0, Epoch 15, Train ACC: 0.6741, Val ACC: 0.3571
subject_23, Fold 0, Epoch 16, Train ACC: 0.7098, Val ACC: 0.5000
subject_23, Fold 0, Epoch 17, Train ACC: 0.6696, Val ACC: 0.4286
subject_23, Fold 0, Epoch 18, Train ACC: 0.7277, Val ACC: 0.5179
subject_23, Fold 0, Epoch 19, Train ACC: 0.7366, Val ACC: 0.5714
subject_23, Fold 0, Epoch 20, Train ACC: 0.7277, Val ACC: 0.4464
subject_23, Fold 0, Epoch 21, Train ACC: 0.7455, Val ACC: 0.4464
subject_23, Fold 0, Epoch 22, Train ACC: 0.7277, Val ACC: 0.4821
subject_23, Fold 0, Epoch 23, Train ACC: 0.7366, Val ACC: 0.5357
subject_23, Fold 0, Epoch 24, Train ACC: 0.7634, Val ACC: 0.5536
subject_23, Fold 0, Epoch 25, Train ACC: 0.7857, Val ACC: 0.5179
subject_23, Fold 0, Epoch 26, Train ACC: 0.7679, Val ACC: 0.5536
subject_23, Fold 0, Epoch 27, Train ACC: 0.7902, Val ACC: 0.4821
subject_23, Fold 0, Epoch 28, Train ACC: 0.7723, Val ACC: 0.5714
subject_23, Fold 0, Epoch 29, Train ACC: 0.7723, Val ACC: 0.5357
subject_23, Fold 0, Best Epoch: 19, Final Val ACC: 0.5714, Final Val F1: 0.5698

subject_23, Fold 0, Epoch 1, Train ACC: 0.7098, Val ACC: 0.5893
subject_23, Fold 0, Epoch 2, Train ACC: 0.8170, Val ACC: 0.4643
subject_23, Fold 0, Epoch 3, Train ACC: 0.9107, Val ACC: 0.5000
subject_23, Fold 0, Epoch 4, Train ACC: 0.9821, Val ACC: 0.5893
subject_23, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6607
subject_23, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6429
subject_23, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6429
subject_23, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6429
subject_23, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 0, Epoch 14, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 0, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 0, Best Epoch: 5, Final Val ACC: 0.6607, Final Val F1: 0.6605

subject_23, Fold 1, Epoch 1, Train ACC: 0.1830, Val ACC: 0.2679
subject_23, Fold 1, Epoch 2, Train ACC: 0.3438, Val ACC: 0.3929
subject_23, Fold 1, Epoch 3, Train ACC: 0.3795, Val ACC: 0.6250
subject_23, Fold 1, Epoch 4, Train ACC: 0.4821, Val ACC: 0.5893
subject_23, Fold 1, Epoch 5, Train ACC: 0.5357, Val ACC: 0.5714
subject_23, Fold 1, Epoch 6, Train ACC: 0.5625, Val ACC: 0.6250
subject_23, Fold 1, Epoch 7, Train ACC: 0.5893, Val ACC: 0.5357
subject_23, Fold 1, Epoch 8, Train ACC: 0.5759, Val ACC: 0.5893
subject_23, Fold 1, Epoch 9, Train ACC: 0.6473, Val ACC: 0.5536
subject_23, Fold 1, Epoch 10, Train ACC: 0.6429, Val ACC: 0.5536
subject_23, Fold 1, Epoch 11, Train ACC: 0.6384, Val ACC: 0.5357
subject_23, Fold 1, Epoch 12, Train ACC: 0.6339, Val ACC: 0.5714
subject_23, Fold 1, Epoch 13, Train ACC: 0.6875, Val ACC: 0.5179
subject_23, Fold 1, Best Epoch: 3, Final Val ACC: 0.6250, Final Val F1: 0.5609

subject_23, Fold 1, Epoch 1, Train ACC: 0.4509, Val ACC: 0.5000
subject_23, Fold 1, Epoch 2, Train ACC: 0.6071, Val ACC: 0.5000
subject_23, Fold 1, Epoch 3, Train ACC: 0.7902, Val ACC: 0.6429
subject_23, Fold 1, Epoch 4, Train ACC: 0.9107, Val ACC: 0.6429
subject_23, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.5893
subject_23, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6071
subject_23, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6071
subject_23, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6429
subject_23, Fold 1, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 1, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6250
subject_23, Fold 1, Best Epoch: 3, Final Val ACC: 0.6429, Final Val F1: 0.6157

subject_23, Fold 2, Epoch 1, Train ACC: 0.2679, Val ACC: 0.2679
subject_23, Fold 2, Epoch 2, Train ACC: 0.3571, Val ACC: 0.4464
