subject_04, Fold 0, Epoch 1, Train ACC: 0.2679, Val ACC: 0.3214
subject_04, Fold 0, Epoch 2, Train ACC: 0.4330, Val ACC: 0.4286
subject_04, Fold 0, Epoch 3, Train ACC: 0.4732, Val ACC: 0.5357
subject_04, Fold 0, Epoch 4, Train ACC: 0.5491, Val ACC: 0.4286
subject_04, Fold 0, Epoch 5, Train ACC: 0.6339, Val ACC: 0.6250
subject_04, Fold 0, Epoch 6, Train ACC: 0.6518, Val ACC: 0.5357
subject_04, Fold 0, Epoch 7, Train ACC: 0.6473, Val ACC: 0.5893
subject_04, Fold 0, Epoch 8, Train ACC: 0.7009, Val ACC: 0.6429
subject_04, Fold 0, Epoch 9, Train ACC: 0.7009, Val ACC: 0.5893
subject_04, Fold 0, Epoch 10, Train ACC: 0.7232, Val ACC: 0.6071
subject_04, Fold 0, Epoch 11, Train ACC: 0.7411, Val ACC: 0.6786
subject_04, Fold 0, Epoch 12, Train ACC: 0.7902, Val ACC: 0.6429
subject_04, Fold 0, Epoch 13, Train ACC: 0.7768, Val ACC: 0.6071
subject_04, Fold 0, Epoch 14, Train ACC: 0.8080, Val ACC: 0.6429
subject_04, Fold 0, Epoch 15, Train ACC: 0.8125, Val ACC: 0.6786
subject_04, Fold 0, Epoch 16, Train ACC: 0.8214, Val ACC: 0.6786
subject_04, Fold 0, Epoch 17, Train ACC: 0.8036, Val ACC: 0.5893
subject_04, Fold 0, Epoch 18, Train ACC: 0.8527, Val ACC: 0.6786
subject_04, Fold 0, Epoch 19, Train ACC: 0.7857, Val ACC: 0.6250
subject_04, Fold 0, Epoch 20, Train ACC: 0.8125, Val ACC: 0.6607
subject_04, Fold 0, Epoch 21, Train ACC: 0.8571, Val ACC: 0.6250
subject_04, Fold 0, Best Epoch: 11, Final Val ACC: 0.6786, Final Val F1: 0.6771

subject_04, Fold 0, Epoch 1, Train ACC: 0.6652, Val ACC: 0.5536
subject_04, Fold 0, Epoch 2, Train ACC: 0.9018, Val ACC: 0.6786
subject_04, Fold 0, Epoch 3, Train ACC: 0.9821, Val ACC: 0.6964
subject_04, Fold 0, Epoch 4, Train ACC: 0.9955, Val ACC: 0.6786
subject_04, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6964
subject_04, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.7143
subject_04, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6964
subject_04, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6964
subject_04, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.7143
subject_04, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Epoch 14, Train ACC: 1.0000, Val ACC: 0.7500
subject_04, Fold 0, Epoch 15, Train ACC: 1.0000, Val ACC: 0.7500
subject_04, Fold 0, Epoch 16, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Epoch 17, Train ACC: 1.0000, Val ACC: 0.7500
subject_04, Fold 0, Epoch 18, Train ACC: 1.0000, Val ACC: 0.7500
subject_04, Fold 0, Epoch 19, Train ACC: 1.0000, Val ACC: 0.7500
subject_04, Fold 0, Epoch 20, Train ACC: 1.0000, Val ACC: 0.7500
subject_04, Fold 0, Epoch 21, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Epoch 22, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Epoch 23, Train ACC: 1.0000, Val ACC: 0.7143
subject_04, Fold 0, Epoch 24, Train ACC: 1.0000, Val ACC: 0.7321
subject_04, Fold 0, Best Epoch: 14, Final Val ACC: 0.7500, Final Val F1: 0.7498

subject_04, Fold 1, Epoch 1, Train ACC: 0.2723, Val ACC: 0.3036
subject_04, Fold 1, Epoch 2, Train ACC: 0.4554, Val ACC: 0.5000
subject_04, Fold 1, Epoch 3, Train ACC: 0.5089, Val ACC: 0.4464
subject_04, Fold 1, Epoch 4, Train ACC: 0.6161, Val ACC: 0.4821
subject_04, Fold 1, Epoch 5, Train ACC: 0.6518, Val ACC: 0.5179
subject_04, Fold 1, Epoch 6, Train ACC: 0.6741, Val ACC: 0.5179
subject_04, Fold 1, Epoch 7, Train ACC: 0.6875, Val ACC: 0.5179
subject_04, Fold 1, Epoch 8, Train ACC: 0.6518, Val ACC: 0.4821
subject_04, Fold 1, Epoch 9, Train ACC: 0.6920, Val ACC: 0.6071
subject_04, Fold 1, Epoch 10, Train ACC: 0.7500, Val ACC: 0.5357
subject_04, Fold 1, Epoch 11, Train ACC: 0.7277, Val ACC: 0.5536
subject_04, Fold 1, Epoch 12, Train ACC: 0.7723, Val ACC: 0.5714
subject_04, Fold 1, Epoch 13, Train ACC: 0.7723, Val ACC: 0.6071
subject_04, Fold 1, Epoch 14, Train ACC: 0.8125, Val ACC: 0.6250
subject_04, Fold 1, Epoch 15, Train ACC: 0.7723, Val ACC: 0.5714
subject_04, Fold 1, Epoch 16, Train ACC: 0.7768, Val ACC: 0.5893
subject_04, Fold 1, Epoch 17, Train ACC: 0.8304, Val ACC: 0.6071
subject_04, Fold 1, Epoch 18, Train ACC: 0.8214, Val ACC: 0.5893
subject_04, Fold 1, Epoch 19, Train ACC: 0.8348, Val ACC: 0.6429
subject_04, Fold 1, Epoch 20, Train ACC: 0.8482, Val ACC: 0.5179
subject_04, Fold 1, Epoch 21, Train ACC: 0.8438, Val ACC: 0.6250
subject_04, Fold 1, Epoch 22, Train ACC: 0.8795, Val ACC: 0.6607
subject_04, Fold 1, Epoch 23, Train ACC: 0.8795, Val ACC: 0.6607
subject_04, Fold 1, Epoch 24, Train ACC: 0.8705, Val ACC: 0.5893
subject_04, Fold 1, Epoch 25, Train ACC: 0.8839, Val ACC: 0.6607
subject_04, Fold 1, Epoch 26, Train ACC: 0.9062, Val ACC: 0.6250
subject_04, Fold 1, Epoch 27, Train ACC: 0.8661, Val ACC: 0.6786
subject_04, Fold 1, Epoch 28, Train ACC: 0.8929, Val ACC: 0.6607
subject_04, Fold 1, Epoch 29, Train ACC: 0.8884, Val ACC: 0.6429
subject_04, Fold 1, Epoch 30, Train ACC: 0.9107, Val ACC: 0.6250
subject_04, Fold 1, Epoch 31, Train ACC: 0.9286, Val ACC: 0.6071
subject_04, Fold 1, Epoch 32, Train ACC: 0.9062, Val ACC: 0.6429
subject_04, Fold 1, Epoch 33, Train ACC: 0.9062, Val ACC: 0.5893
subject_04, Fold 1, Epoch 34, Train ACC: 0.9196, Val ACC: 0.6786
subject_04, Fold 1, Epoch 35, Train ACC: 0.9018, Val ACC: 0.6429
